_2025,Name,Name (ENG - free translation) ,Date,Date,Journalist,URL Shomrim,Subject,1ST subject ,2nd subject,3rd subject,Theme 1,Theme 2,Theme 3,Themes (numeric),Story type,Impact level,Legend: impact definition,Impact description,Impact description (ENG - free translation) ,Production,Additional outlets - tier A,Additional outlets – tier A (ENG),Additional outlets - tier B,Additional outlets – tier B (ENG)
11,"האחרונים לגלות: משרדי ממשלה נפרצו, מידע פרטי דלף, אבל לאזרחי ישראל אסור לדעת","Government Offices Hacked, Private Data Leaked—But Israeli Citizens Are Kept in the Dark",2025-01-30,30-Jan-2025,Milan Cerny,https://www.shomrim.news/hebrew/gag-orders-inflation,"Democracy & Society
Democratic Institutions and the Rule of Law",Democracy & Society,Democratic Institutions and the Rule of Law,,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,"1
4",Short-Term Investigative,,,,,"Audio Recording, Translation",,,,
12,"עיריית לוד נגד ממשלת ישראל: ""הפקרות שלטונית, אפליה ומציאות חיים בלתי נסבלת""","The Lod Municipality vs. the Israeli Government: Negligence, Discrimination, and an Unlivable Reality",2025-02-04,4-Feb-2025,Daniel Dolev,https://www.shomrim.news/hebrew/lod-follow,"Economy, Finance, Inequality, Poverty
Marginalized Communities
Democracy & Society","Economy, Finance, Inequality, Poverty",Marginalized Communities,Democracy & Society,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,"1
4",Follow up,2,Stakeholder Reaction,התחקיר של שומרים מופיע בנספחים של העתירה של עיריית לוד נגד משטרת ישראל,The Shomrim investigation appears in the appendices of the Lod Municipality’s petition against the Israel Police.,Translation,,,,
13,"אכיפה בררנית: כשפוליטיקאים מהשלטון מתלוננים על מפגינים, פתאום יש משטרה","Selective Enforcement: When Ruling-Party Politicians Complain About Protesters, Police Act",2025-02-04,4-Feb-2025,Chen Shalita,https://www.shomrim.news/hebrew/selective-enforcement,"Democracy & Society
 Democratic Institutions and the Rule of Law
 Human Rights & Democratic Values",Democracy & Society,Democratic Institutions and the Rule of Law,Human Rights & Democratic Values,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,"1
4",Feature,,,,,,,,,
14,"המושבניק שהעז: עתירה לבג""ץ עשויה לשים סוף לעסקאות המיליונים של מכירת נחלות במושבים",The Farmer Who Spoke Up: A Supreme Court Petition Could End Multi-Million-Shekel Land Deals,2025-02-07,7-Feb-2025,Shuki Sadeh,https://www.shomrim.news/hebrew/the-moshavnik-who-dares,"Democracy & Society
Economy, Finance, Inequality, Poverty",Democracy & Society,"Economy, Finance, Inequality, Poverty",,Judicial System & Courts,Land/Planning,Democratic Values/Institutional Norms,"3
5
4",Investigative,1,Media Amplification,,,,המרקר,TheMarker,,
15,"חשיפה: משרד הביטחון ביטל את מכרז הענק לרכישת רובי סער חדשים לצה""ל",Exposed: Defense Ministry Cancels Massive Tender for New IDF Assault Rifles,2025-02-10,10-Feb-2025,"Roni Singer, Daniel Dolev",https://www.shomrim.news/hebrew/ari-arms-cancelled,Democratic Institutions and the Rule of Law,Democratic Institutions and the Rule of Law,,,Gatekeepers/Watchdog Institutions,Military & Reserve Forces,,"1
2",Follow up,"3, 1","Media Amplification, Real-World Change","משרד הביטחון ביטל את זכייתה של חברת 'ארי ארמס' במכרז לאספקת עשרות אלפי רובי סער לצה""ל ובנוסף גם ביטל את המכרז כולו. 
חודש לפני כן חשף תחקיר שומרים כי ארי ארמס שכרה כיועץ למכרז את עו""ד יצחק וכטל שהיה עד לפני שנים ספורות סגן היועץ המשפטי של אגף הרכש והמכרזים במשרד הביטחון. לאחר פרסום המכרז המקורי, שהיה מכרז ""סגור"", פנה וכטל בשם החברה למשרד וביקש שהמכרז יפורסם מחדש כ""פתוח"" על מנת שהחברה תוכל להתמודד בו. המשרד נענה לבקשתו.","The Ministry of Defense canceled the award granted to the company 'ARI ARMS' in the tender for supplying tens of thousands of assault rifles to the IDF, and additionally canceled the entire tender. A month earlier, a Shomrim investigation revealed that ARI ARMS had hired attorney Itzhak Vakhtel as a consultant for the tender; until just a few years ago, Vakhtel had served as deputy legal advisor of the Procurement and Tenders Division at the Ministry of Defense. After the publication of the original tender — which was a ‘closed’ tender — Vakhtel, on behalf of the company, asked the ministry to reissue the tender as an ‘open’ one so that the company could compete. The ministry accepted his request.",,כלכליסט,Calcalist,,
16,"משטרה תחת אזהרה: השחיתות הציבורית לא נעלמה, החקירות דווקא כן","Police Under Caution: Political Corruption Hasn’t Disappeared, but the Investigations Have",2025-02-10,10-Feb-2025,Roni Singer,https://www.shomrim.news/hebrew/police-under-warning,Democratic Institutions and the Rule of Law,Democratic Institutions and the Rule of Law,,,Gatekeepers/Watchdog Institutions,,,1,Feature,,,,,Translation,,,,
17,"מוסר כפול תוצרת אירופה: ביד אחת מטילים אמברגו נשק על ישראל, בשנייה קונים ממנה נשק מתקדם","European Double Standards: One Hand Slaps Sanctions on Israel, the Other Buys Advanced Weapons System",2025-02-13,13-Feb-2025,Milan Cerny,https://www.shomrim.news/hebrew/european-double-standards,"Democracy & Society
Human Rights & Democratic Values
October 7 War",Democracy & Society,Human Rights & Democratic Values,October 7 War,Democratic Values/Institutional Norms,Military & Reserve Forces,,"4
2",Investigative,1,Media Amplification,,,Translation,N12,N12,,
18,עסקת ענק ותרומת עתק להתנחלות בעזה: סימני השאלה סביב המהלכים הפיננסים של המולטי מיליונרית בת ה-100,Megadeals and a Huge Donation to Gaza Settlements: Questions Asked Over 100-Year-Old Multimillionaire’s Financial Dealings,2025-02-16,16-Feb-2025,Uri Blau,https://www.shomrim.news/hebrew/a-hundred-year-old-multi-millionaire,"Economy, Finance, Inequality, Poverty
Human Rights & Democratic Values","Economy, Finance, Inequality, Poverty",Human Rights & Democratic Values,,Democratic Values/Institutional Norms,Land/Planning,,"4
5",Follow up,1,Media Amplification,"באוגוסט נודע לשומרים כי חשבונות הבנק של לאה דנקנר הוקפאו. כנראה בידי הבנק עצמו, ולא האופטרופוס הראשי. לא ברור כיצד הקפאת החשבונות משפיע על העברת כספי התרומה","In August, Shomrim learned that Lea Dankner’s bank accounts had been frozen — apparently by the bank itself and not by the Administrator General. It is unclear how the freezing of the accounts affects the transfer of the donation funds.",Translation,כלכליסט,Calcalist,,
19,"לא רק בלשכת נתניהו: השרים ישראל כ""ץ וגילה גמליאל העסיקו את שרוליק איינהורן כעוזר פוליטי",Ministers Katz and Gamliel Employed Shrulik Einhorn as a Political Aide,2025-02-17,17-Feb-2025,Roni Singer,https://www.shomrim.news/hebrew/not-just-netanyahu,"Democracy & Society
Democratic Institutions and the Rule of Law",Democracy & Society,Democratic Institutions and the Rule of Law,,Gatekeepers/Watchdog Institutions,,,1,Investigative,1,Media Amplification,,,,כלכליסט,Calcalist,,
20,הלובי הקטארי: ראש המטה של נתניהו ב–2016 עזר לקטאר לחמוק מסנקציות בגין תמיכה בטרור,The Qatari Lobby: Netanyahu’s 2016 Chief of Staff Helped Qatar Evade Terror-Financing Sanctions,2025-02-19,19-Feb-2025,Haim Rivlin,https://www.shomrim.news/hebrew/the-qatari-connection,"Democracy & Society
Democratic Institutions and the Rule of Law",Democracy & Society,Democratic Institutions and the Rule of Law,,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,"1
4",Investigative,1,Media Amplification,,,Audio Recording,המרקר,TheMarker,,
