_2025,Name,Name (ENG - free translation) ,Date,Date,Journalist,URL Shomrim,Subject,1ST subject ,2nd subject,3rd subject,Theme 1,Theme 2,Theme 3,Themes (numeric),Story type,Impact level,Legend: impact definition,Impact description,Impact description (ENG - free translation) ,Production,Additional outlets - tier A,Additional outlets – tier A (ENG),Additional outlets - tier B,Additional outlets – tier B (ENG)
41,"המאבק בחיילי צה""ל מחריף: יותר מ-350 ג'יגה של סרטונים עלו לרשת ונשלחו להאג",The Digital Offensive on IDF Soldiers: 350GB of Footage Submitted to The Hague,2025-03-29,29-Mar-2025,Milan Cerny,https://www.shomrim.news/hebrew/anti-israeli-databases,October 7 War,October 7 War,,,Military & Reserve Forces,Judicial System & Courts,,"2
3",Investigative,1,Media Amplification,,,Translation,"N12, מאקו, The Times of Israel","N12, Mako, The Times of Israel",,
42,"המאבק בשומרי הסף: ""מי שמאמין שהממשלה תבלום ברגע אחרון חי בסרט""",The War on Gatekeepers: 'Anyone Who Thinks the Government Will Stop at the Last Minute Is Delusional',2025-03-31,31-Mar-2025,Chen Shalita,https://www.shomrim.news/hebrew/shabak-conflict,"Democratic Institutions and the Rule of Law
Democracy & Society",Democratic Institutions and the Rule of Law,Democracy & Society,,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,"1
4",Explanatory,,,,,,,,,
43,דליפת ענק: עוד פרטים רגישים של אלפי ישראלים דלפו מהמשרד לביטחון לאומי,Massive Data Breach: Sensitive Details of Thousands of Israelis Leaked From National Security Ministry,2025-04-02,2-Apr-2025,Milan Cerny,https://www.shomrim.news/hebrew/huge-leak,Democratic Institutions and the Rule of Law,Democratic Institutions and the Rule of Law,,,Gatekeepers/Watchdog Institutions,,,1,Short-Term Investigative,1,Media Amplification,,,,,,,
44,שיטת הפרוקסי: כך השתתף הציבור במימון קמפיינים והפגנות של ארגוני ימין,The Proxy Method: How the Public Helped Fund Right-Wing Campaigns and Protests,2025-04-04,4-Apr-2025,Shuki Sadeh,https://www.shomrim.news/hebrew/the-proxy-method,"Democratic Institutions and the Rule of Law
Democracy & Society",Democratic Institutions and the Rule of Law,Democracy & Society,,Democratic Values/Institutional Norms,,,4,Investigative,1,Media Amplification,,,,המרקר,TheMarker,,
45,"ילדים בלי כיסוי: ""בריאות ילדים זה לא קלף במדיניות הגירה""",Children Without Coverage: 'Child Health Is Not a Bargaining Chip in Immigration Policy',2025-04-07,7-Apr-2025,Daniel Dolev,https://www.shomrim.news/hebrew/children-without-cover,"Human Rights & Democratic Values
Democracy & Society",Human Rights & Democratic Values,Democracy & Society,,Extreme Social Phenomena,Democratic Values/Institutional Norms,,"8
4",Short-Term Investigative,1,Media Amplification,,,,מאקו,Mako,,
46,לא רק כולרה: חומרים מסרטנים נמצאו באחד משני מאגרי המים האסטרטגיים של ישראל,Not Just Cholera: Carcinogenic Substances Found in One of Israel’s Strategic Water Reservoirs,2025-04-08,8-Apr-2025,Haim Rivlin,https://www.shomrim.news/hebrew/strategic-water-reservoir-in-danger,Health ,Health,,,Water & Infrastructure,,,6,Short-Term Investigative,"1, 2","Media Amplification, Stakeholder Reaction",8.2 ועדת הפנים קיימה דיון על הסכנות הבריאותיות בעקבות זיהום מי התהום בנחל שקמה - בעקבות פרסום התחקיר,"Feb 8, the Interior Committee held a discussion on the health risks resulting from the contamination of groundwater in the Shikma Stream — following the publication of the investigation",,Ynet,Ynet,,
47,האונס שנשאר: כך מושתקות תלונות על תקיפות מיניות בציבור החרדי,How Sexual Abuse Is Covered Up in Ultra-Orthodox Communities,2025-04-10,10-Apr-2025,Lir Spiriton,https://www.shomrim.news/hebrew/silenced-sexual-assaults,Marginalized Communities,Marginalized Communities,,,Extreme Social Phenomena,Democratic Values/Institutional Norms,,"8
4",Short-Term Investigative,1,Media Amplification,,,Translation,מאקו,Mako,,
48,"מצוקת כוח האדם בצה""ל: הצבא האריך את השירות של רבע מהחיילות בשמונה חודשים נוספים",Manpower Crisis in the IDF: One-Quarter of Female Soldiers Had Their Service Extended by Eight Months,2025-04-10,10-Apr-2025,Chen Shalita,https://www.shomrim.news/hebrew/female-soldiers-serve-longer,Democracy & Society,Democracy & Society,,,Military & Reserve Forces,Democratic Values/Institutional Norms,,"2
4",Feature,1,Media Amplification,,,,כלכליסט,Calcalist,,
49,"החבר של פוטין: יוצאי בלארוס בישראל נרדפים על ידי הקג""ב של לוקשנקו",Putin’s Ally: Belarusian Exiles in Israel Targeted by Lukashenko’s KGB,2025-04-21,21-Apr-2025,Milan Cerny,https://www.shomrim.news/hebrew/belarus-kgb,"Marginalized Communities
Democracy & Society",Marginalized Communities,Democracy & Society,,Democratic Values/Institutional Norms,,,4,Short-Term Investigative,,,,,,,,,
50,קטאר לא עוצרת: מגייסת לוביסט חדש שמקורב לממשל טראמפ,Qatar Hires Pardoned Trump Ally as New U.S Lobbyist,2025-04-22,22-Apr-2025,Uri Blau,https://www.shomrim.news/hebrew/qatar-kerik,"October 7 War
Democratic Institutions and the Rule of Law",October 7 War,Democratic Institutions and the Rule of Law,,Gatekeepers/Watchdog Institutions,,,1,Short-Term Investigative,1,Media Amplification,,,"Translation, Audio Recording",כלכליסט,Calcalist,,
51,הדרך לסיפוח: עמוק מתחת לרדאר סוללת ישראל מאות קילומטרים של כבישים חדשים ביהודה ושומרון,Paving the Way to Annexation: Israel Quietly Builds New Roads in the West Bank,2025-04-24,24-Apr-2025,Daniel Dolev,https://www.shomrim.news/hebrew/roads-in-the-west-bank,"Democratic Institutions and the Rule of Law
Marginalized Communities
Human Rights & Democratic Values",Democratic Institutions and the Rule of Law,Marginalized Communities,Human Rights & Democratic Values,Land/Planning,Democratic Values/Institutional Norms,,"5
4",Short-Term Investigative,,,,,Translation,,,,
52,הזוכה במכרז משרד הביטחון למצעד החיים: אחת הנאשמות בפרשת קרטל המסעות לפולין,Defense Ministry Tender Winner for the March of the Living: One of the Defendants in the Poland Travel Cartel Case,2025-04-24,24-Apr-2025,Shuki Sadeh,https://www.shomrim.news/hebrew/march-of-the-living-bid,"Economy, Finance, Inequality, Poverty","Economy, Finance, Inequality, Poverty",,,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,"1
4",Investigative,1,Media Amplification,,,,כלכליסט,Calcalist,,
53,מה הוא רוצה? האג'נדה מאחורי הפרובוקציות של בצלאל סמוטריץ',What does he want? The agenda behind Bezalel Smotrich’s provocations,2025-04-29,29-Apr-2025,Chen Shalita,https://www.shomrim.news/hebrew/what-does-smotrich-want,Human Rights & Democratic Values,Human Rights & Democratic Values,,,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,"1
4",Feature,,,,,Audio Recording,,,,
54,"הקורבנות השקופים של המלחמה: עלייה במספר החיילים המתאבדים, רובם מילואימניקים","The Transparent Victims of the War: Rise in Soldier Suicides, Mostly Reservists",2025-05-02,2-May-2025,Yael Shani,https://www.shomrim.news/hebrew/soldier-suicide,"October 7 War
Health
Welfare",October 7 War,Health,Welfare,Extreme Social Phenomena,Military & Reserve Forces,Democratic Values/Institutional Norms,"8
2
4",Feature,1,Media Amplification,התפרסם במוסף 7 ימים,"It was published in 7 Days, the weekly magazine","Audio Recording, Translation, Photography",ידיעות אחרונות,Yedioth Ahronoth,,
55,"שטח הפקר: צה""ל הציף את יו""ש בכלי נשק, אבל לא בודק מה קורה איתם אחר כך",No man’s land: The IDF flooded the West Bank with Weapons - Then Lost Track of Them,2025-05-05,5-May-2025,Daniel Dolev,https://www.shomrim.news/hebrew/chaos-settlers-weapon-follow,"Human Rights & Democratic Values
Marginalized Communities
Democratic Institutions and the Rule of Law",Human Rights & Democratic Values,Marginalized Communities,Democratic Institutions and the Rule of Law,Military & Reserve Forces,Democratic Values/Institutional Norms,,"2
4",Follow up,,,,,,,,,
56,לא רק הממשלה מושכת זמן: תחקיר המשטרה על טבח ה-7 באוקטובר - רק בסוף 2026,Not Just the Government Is Stalling: The Police Probe Into the Oct. 7 Massacre Won’t Be Completed Until Late 2026,2025-05-07,7-May-2025,Uri Blau,https://www.shomrim.news/hebrew/police-october7,October 7 War,October 7 War,,,Gatekeepers/Watchdog Institutions,,,1,Short-Term Investigative,,,,,,,,,
57,"בין נפוטיזם למקורביזם: קרבות הנדל""ן וחלוקת הנחלות במושבים",Between Nepotism and Cronyism: Real Estate Battles and Land Allocations in Rural Communities,2025-05-08,8-May-2025,Shuki Sadeh,https://www.shomrim.news/hebrew/battles-of-the-estates,"Economy, Finance, Inequality, Poverty","Economy, Finance, Inequality, Poverty",,,Gatekeepers/Watchdog Institutions,Land/Planning,Democratic Values/Institutional Norms,"1
5
4",Investigative,"1, 2","Media Amplification, Stakeholder Reaction",13.7 רשם האגודות השיתופיות הודיע שיפתח בחקירה של הנושא,"Jul 13, the Registrar of Cooperative Societies announced that he would open an investigation into the matter.",Photography,מאקו,Mako,,
58,המנגנון שמוקם בחשאי למימון ותפעול התוכנית ההומניטרית בעזה,The Secretly Established Mechanism for Funding and Operating the Humanitarian Program in Gaza,2025-05-11,11-May-2025,Uri Blau,https://www.shomrim.news/hebrew/gaza-humanitarian,October 7 War,October 7 War,,,Gatekeepers/Watchdog Institutions,Military & Reserve Forces,,"1
2",Investigative,1,Media Amplification,"24.5 - תחקיר של הניו יורק טיימס, מצטט מהממצאים של שומרים (בלי קרדיט), שמראה כיצד אותם אנשים פועלים מאחורי הארגונים השונים שאמורים לספק סיוע הומניטרי לעזה - https://www.nytimes.com/2025/05/24/world/middleeast/israel-gaza-aid-plan.html?smid=nytcore-android-share","May 24, a New York Times investigation quoted Shomrim’s findings (without credit), showing how the same individuals operate behind the various organizations that are supposed to provide humanitarian aid to Gaza - https://www.nytimes.com/2025/05/24/world/middleeast/israel-gaza-aid-plan.html?smid=nytcore-android-share",Translation,כלכליסט,Calcalist,,
59,"חשיפה: חברת התוכנה שנפרצה בוושינגטון, עבדה גם עם משרדי הממשלה בארץ",Exposed: Software Firm Hacked in Washington Also Worked With Israeli Government,2025-05-11,11-May-2025,Milan Cerny,https://www.shomrim.news/hebrew/telemessage-hacked,Democracy & Society,Democracy & Society,,,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,"1
4",Short-Term Investigative,1,Media Amplification,,,,כלכליסט,Calcalist,,
60,"כמעט שנה לאסון מג'דל שמס, משפחות הפצועים טוענות שנשכחו מאחור; ""הילדים זקוקים לעזרה, ואנחנו אלה שמשלמים""",Majdal Shams Disaster Victims’ Families: Israel Has Forgotten Us,2025-05-15,15-May-2025,Fadi Amun,https://www.shomrim.news/hebrew/majdal-shams-disaster,October 7 War,October 7 War,,,Democratic Values/Institutional Norms,,,4,Investigative,1,Media Amplification,,,"Translation, Photography",Ynet,Ynet,,
61,"שוויון חברתי? לא לערבים, להט""ב וניצולי שואה; ""כמעט הכל נדחה, מקוצץ או שסתם מסבנים אותך""","Social Equality? Not for Arabs, LGBTQ People, or Holocaust Survivors",2025-05-21,21-May-2025,Haim Rivlin,https://www.shomrim.news/hebrew/may-golan-report,"Democratic Institutions and the Rule of Law
Human Rights & Democratic Values
Marginalized Communities",Democratic Institutions and the Rule of Law,Human Rights & Democratic Values,Marginalized Communities,Arab Society,Democratic Values/Institutional Norms,,"7
4",Short-Term Investigative,,,,,,,,,
62,"מאחורי הדוכנים והתדמית של יהדות מחברת: הציר הפוליטי החדש בין חב""ד לבן גביר נחשף",Chabad Picks a Side: The Ben-Gvir Alliance,2025-05-22,22-May-2025,Lir Spiriton,https://www.shomrim.news/hebrew/chabad-bengvir,"Human Rights & Democratic Values, Democracy & Society","Human Rights & Democratic Values, Democracy & Society",,,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,"1
4",Investigative,1,Media Amplification,,,"Translation, Audio Recording","מאקו, הארץ אנגלית","Mako, Haaretz (English edition)",,
63,חשיפה: כספי הטרור ממשיכים לזרום אל ארנקי הקריפטו של חמאס,"Eighteen Months Into the War, Crypto Funds Continue to Flow to Hamas",2025-05-22,22-May-2025,Uri Blau,https://www.shomrim.news/hebrew/hamas-crypto-continues,"October 7 War
Economy, Finance, Inequality, Poverty",October 7 War,"Economy, Finance, Inequality, Poverty",,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,"1
4",Investigative,1,Media Amplification,,,Translation,"N12, מאקו","N12, Mako",,
64,חשיפה: חברת האבטחה האמריקאית שאמורה לפעול בעזה מגייסת אנשי מודיעין,Exposed: U.S. Security Firm Slated for Gaza Operations Is Recruiting Intelligence Operatives,2025-05-25,25-May-2025,"Uri Blau, Milan Cerny",https://www.shomrim.news/hebrew/gaza-aid-security,"October 7 War
Human Rights & Democratic Values",October 7 War,Human Rights & Democratic Values,,Democratic Values/Institutional Norms,,,4,Investigative,1,Media Amplification,,,Translation,Ynet,Ynet,Le Monde,Le Monde
65,חשיפה: העמותה השוויצרית לחלוקת מזון בעזה נסגרת,Exposed: Swiss Aid Organization Distributing Food in Gaza Is Shutting Down,2025-05-25,25-May-2025,"Uri Blau, Milan Cerny",https://www.shomrim.news/hebrew/ghf-switzerland,"October 7 War
Human Rights & Democratic Values",October 7 War,Human Rights & Democratic Values,,Democratic Values/Institutional Norms,,,4,Investigative,1,Media Amplification,,,Translation,Ynet,Ynet,,
66,"הכפר הבדואי שננטש: ""אנשי המאחז הלכו בין הבתים, קיללו והפחידו את הילדים. אנחנו לא יכולים לעמוד בזה""","The Abandoned Bedouin Village: 'Settlers Came, Cursed Us, and Terrorized the Children'",2025-05-25,25-May-2025,Daniel Dolev,https://www.shomrim.news/hebrew/mughayer-al-deir,"Marginalized Communities
Human Rights & Democratic Values",Marginalized Communities,Human Rights & Democratic Values,,Arab Society,Land/Planning,,"7
5",Follow up,,,,,,,,,
67,כ-360 מיליון שקל לשלושה חודשים רק לאבטחת מבצע הסיוע בעזה – והשאלה שנותרה פתוחה: מי משלם?,$100 Million for Three Months of Securing Aid in Gaza - Who’s Paying the Bill?,2025-05-29,29-May-2025,"Uri Blau, Milan Cerny",https://www.shomrim.news/hebrew/srs-gaza-aid,"October 7 War
Human Rights & Democratic Values",October 7 War,Human Rights & Democratic Values,,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,"1
4",Investigative,,,,,,,,,
68,"מילואים כסידור עבודה: 4 שעות ביממה, 9,600 בחודש, ואפשר גם ""שבוע-שבוע""","Reserve duty as a work arrangement: Four hours a day, 9,600 shekels a month, and you can do “week-on week-off”",2025-05-29,29-May-2025,Shuki Sadeh,https://www.shomrim.news/hebrew/idf-employment-market,October 7 War,October 7 War,,,Military & Reserve Forces,Gatekeepers/Watchdog Institutions,,"2
1",Investigative,1,Media Amplification,,,Audio Recording,מאקו,Mako,,
69,"הסיוע לעזה: מפעל אריזה בחברון, כסף מהאמירויות, לוגיסטיקה ישראלית וגם האו""ם עדיין ברצועה","Gaza Aid Chain: A Packing Plant in Hebron, Emirati Funding, Israeli Logistics - and the UN Still on the Ground",2025-06-04,4-Jun-2025,Shuki Sadeh,https://www.shomrim.news/hebrew/gaza-aid-chaos,October 7 War,October 7 War,,,Democratic Values/Institutional Norms,,,4,Short-Term Investigative,1,Media Amplification,,,,בוקרא,Bokra,,
70,עד הכדור האחרון: עלייה חדה בשימוש במשככי כאבים ממכרים בקרב פצועי המלחמה,The Other Battlefield: Surge in Opioid Use Among Wounded Gaza Soldiers,2025-06-06,6-Jun-2025,Daniel Dolev,https://www.shomrim.news/hebrew/soldiers-and-opioids,"Health
October 7 War",Health,October 7 War,,Extreme Social Phenomena,Military & Reserve Forces,Gatekeepers/Watchdog Institutions,"8
2
1",Investigative,1,Media Amplification,,,"FoI, Translation, Audio Recording","ידיעות אחרונות, גלצ","Yedioth Ahronoth, Galatz (Army Radio)",מתחת לראדר,Under the Radar
71,"רק אחרי שלוש תלונות על הטרדה מינית, ב""איחוד הצלה"" הראו את הדרך החוצה לעובד הבכיר",Only After Three Sexual Harassment Complaints Did United Hatzalah Force Out a Senior Official,2025-06-10,10-Jun-2025,Shuki Sadeh,https://www.shomrim.news/hebrew/hatzalah-sexual-harassment,Marginalized Communities,Marginalized Communities,,,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,"1
4",Follow up,1,Media Amplification,,,,,,חרדים 10,Haredim 10
72,"אין לאן לברוח: הלהט""בים הפלסטינים נלחמים על חייהם, ובישראל סוגרים את הדלת",Nowhere to Run: LGBTQ Palestinians Struggle to Survive and Israel Closes the Door,2025-06-11,11-Jun-2025,Fadi Amun,https://www.shomrim.news/hebrew/palestinians-lgbtq,"Human Rights & Democratic Values
Marginalized Communities",Human Rights & Democratic Values,Marginalized Communities,,Extreme Social Phenomena,Democratic Values/Institutional Norms,,"8
4",Investigative,1,Media Amplification,,,Translation,מאקו,Mako,,
73,"""לפני הבחירות האחרונות אמר איזה פוליטיקאי ערבי, שאין הבדל בין גנץ לבן גביר. היום אף אחד לא יגיד שטויות כאלה""","Losing Faith, Seeking Power: Arab Society Prepares for the Next Election",2025-06-12,12-Jun-2025,Chen Shalita,https://www.shomrim.news/hebrew/the-israeli-arab-vote,"Democracy & Society
Marginalized Communities",Democracy & Society,Marginalized Communities,,Arab Society,Democratic Values/Institutional Norms,,"7
4",Feature,,,,,Translation,,,,
74,"""אני מפחד ממה שזה עושה לקהילה"": איך מנתקים את הקשר בין סמים ללהט""ב?",I Fear What This Is Doing to the Community': How to Break the Link Between Drugs and LGBTQ Spaces,2025-06-12,12-Jun-2025,Daniel Dolev,https://www.shomrim.news/hebrew/lgbt-and-drugs,"Democracy & Society
Health",Democracy & Society,Health,,Extreme Social Phenomena,Democratic Values/Institutional Norms,,"8
4",Feature,,,,,,,,,
75,"מחדל המיגון בערים: אלפי בניינים נוספים אמורים היו להיות ממוגנים כיום עם ממ""דים",Urban Shelter Failure: Thousands of Buildings Still Lack Required Protection,2025-06-15,15-Jun-2025,Shuki Sadeh,https://www.shomrim.news/hebrew/protection-failure,"Democracy & Society
Economy, Finance, Inequality, Poverty
October 7 War",Democracy & Society,"Economy, Finance, Inequality, Poverty",October 7 War,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,"1
4",Explanatory,,,,,,,,,
76,במיניבוס קבור מתחת לאדמה או בצינורות ביוב: עשרות אלפים ללא מיגון,A Semi-Buried Minibus or Sewage Pipes: Dozens of Israeli Bedouin Have No Access to Bomb Shelters,2025-06-15,15-Jun-2025,Fadi Amun,https://www.shomrim.news/hebrew/bedouins-without-protection,"Democracy & Society
Marginalized Communities
October 7 War",Democracy & Society,Marginalized Communities,October 7 War,Arab Society,Extreme Social Phenomena,Democratic Values/Institutional Norms,"7
8
4",Explanatory,,,,,Translation,,,,
77,תופעה איומה בזמן האזעקות: דיירים לא מאפשרים לעוברי אורח להיכנס למרחב המוגן,"During Air-Raid Sirens, Residents Refuse Shelter to Passersby",2025-06-17,17-Jun-2025,Chen Shalita,https://www.shomrim.news/hebrew/no-entry-to-the-shelter,"Democracy & Society
October 7 War",Democracy & Society,October 7 War,,Extreme Social Phenomena,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,"8
1
4",Feature,,,,,,,,,
78,"תעריפי מילוט והגעה לישראל: 6,000 שקל בסירה, 4,000 דולר במטוס פרטי","$1,600 by Boat, $4,000 by Private Plane: The Price Surge in Entering and Leaving Israel",2025-06-17,17-Jun-2025,Milan Cerny,https://www.shomrim.news/hebrew/escape-rates-from-israel,"Democracy & Society
October 7 War",Democracy & Society,October 7 War,,Gatekeepers/Watchdog Institutions,,,1,Short-Term Investigative,,,,,,,,,
79,"החומרים תקועים בחו""ל – ופרויקטים של מיליונים לתרופות מצילות חיים בסכנה","With Shipments Stuck Overseas, Israel’s Life-Saving Biotech Industry Could Lose Millions",2025-06-17,17-Jun-2025,Haim Rivlin,https://www.shomrim.news/hebrew/biotech-war,"Democracy & Society
Economy, Finance, Inequality, Poverty",Democracy & Society,"Economy, Finance, Inequality, Poverty",,Gatekeepers/Watchdog Institutions,,,1,Explanatory,2,Stakeholder Reaction,"8.6 לאחר פרסום התחקיר, פנו לחברות מלשכת ח""כ מרב כהן בניסיון לפתור את המצוקה"," .June 8 - Following the publication of the investigation, companies were contacted by MK Merav Cohen’s office in an attempt to resolve the crisis",Translation,גלצ,Galatz (Army Radio),,
80,אל תשליכני: הקשישים שלא מצליחים להגיע אפילו למקלט,Do Not Forsake Me: The Elderly Left Behind in Wartime,2025-06-18,18-Jun-2025,Lir Spiriton,https://www.shomrim.news/hebrew/elderly-shelters,"Democracy & Society
October 7 War
Marginalized Communities",Democracy & Society,October 7 War,Marginalized Communities,Democratic Values/Institutional Norms,,,4,Explanatory,,,,,Translation,,,,
81,"השכנים השתלטו על המקלט – ואין מה לעשות: ""עזוב אותי, זה הבית שלי""",The Neighbors Took Over the Shelter - and There’s Nothing Anyone Can Do,2025-06-19,19-Jun-2025,Shuki Sadeh,https://www.shomrim.news/hebrew/bullying-in-shelters,"Marginalized Communities
October 7 War",Marginalized Communities,October 7 War,,Extreme Social Phenomena,Democratic Values/Institutional Norms,,"8
4",Explanatory,1,Media Amplification,פולו: שוקי התראיין ליעל דן בגלצ,Follow-up: Shuki was interviewed by Yael Dan on Galatz,,גלצ,Galatz (Army Radio),,
82,מצב חירום? דהירת חוקי ההפיכה המשטרית נמשכת בכסות המלחמה עם איראן,State of Emergency? The Judicial Overhaul Push Marches On Under Cover of War,2025-06-22,22-Jun-2025,Chen Shalita,https://www.shomrim.news/hebrew/as-if-there-is-no-war,"Democracy & Society
Democratic Institutions and the Rule of Law
October 7 War",Democracy & Society,Democratic Institutions and the Rule of Law,October 7 War,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,"1
4",Explanatory,,,,,Audio Recording,,,,
83,בניגוד להנחיות פיקוד העורף: בתי ספר במגזר החרדי פועלים כרגיל,"Defying Home Front Command Orders, Ultra-Orthodox Schools Remain Open",2025-06-23,23-Jun-2025,Lir Spiriton,https://www.shomrim.news/hebrew/bnei-brak-iran-war,"Democracy & Society
October 7 War",Democracy & Society,October 7 War,,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,"1
4",Short-Term Investigative,,,,,,,,,
84,"הפסקת אש? עבור תושבי המרכז שביתם נפגע, מלחמת ישראל-איראן רחוקה מסיום","Cease-Fire? For Israelis Whose Homes Were Hit, the Israel-Iran War Is Far From Over",2025-06-25,25-Jun-2025,Shuki Sadeh,https://www.shomrim.news/hebrew/war-is-far-from-over,"Democracy & Society
October 7 War",Democracy & Society,October 7 War,,Gatekeepers/Watchdog Institutions,,,1,Explanatory,1,Media Amplification,,,Audio Recording,מאקו,Mako,,
85,נמלטו ממלחמה אחת ונהרגו באחרת: המלכוד של יוצאי אוקראינה בישראל,They Fled One War and Died in Another: Ukrainian Refugees’ Deadly Trap in Israel,2025-06-25,25-Jun-2025,Milan Cerny,https://www.shomrim.news/hebrew/ukraine-refugees-dilemma,"Democracy & Society
Marginalized Communities
October 7 War",Democracy & Society,Marginalized Communities,October 7 War,Extreme Social Phenomena,Democratic Values/Institutional Norms,,"8
4",Explanatory,,,,,,,,,
86,"""אגף המרגלים"" נחשף: כך מוחזקים בכלא הנאשמים בריגול עבור איראן",Inside the 'Spy Wing': How Suspects Accused of Espionage for Iran Are Held in Prison,2025-06-26,26-Jun-2025,Roni Singer,https://www.shomrim.news/hebrew/the-spy-sector,"Democracy & Society
October 7 War",Democracy & Society,October 7 War,,Judicial System & Courts,Gatekeepers/Watchdog Institutions,,"3
1",Investigative,1,Media Amplification,רוני התראיינה לרדיו רקע על הכתבה בנושא המרגלים האיראנים,Roni was interviewed on Radio Rekka about the investigation on the Iranian spies,,"N12, רדיו רקע (כאן)","N12, Reka Radio (KAN)",,
87,מוכר משקאות נגד הנגאובר שנעצר לאחרונה: זה האיש מאחורי אבטחת הסיוע ההומניטרי בעזה,The Man Behind Security for the Gaza Humanitarian Aid Project,2025-07-01,1-Jul-2025,"Uri Blau, Milan Cerny",https://www.shomrim.news/hebrew/ug-solutions,October 7 War,October 7 War,,,Gatekeepers/Watchdog Institutions,Extreme Social Phenomena,,"1
8",Investigative,1,Media Amplification,,,Translation,"Ynet, Ynet ENG","Ynet, Ynet ENG",,
88,"קריסת הפריפריה: מחלקות מפוצצות עם מתמחה תורן על תקן ""חצי דחליל, חצי בייביסיטר""",Crashing in the Periphery: Overflowing Hospital Wards with One Resident Who’s Half-Babysitter,2025-07-04,4-Jul-2025,Haim Rivlin,https://www.shomrim.news/hebrew/periphery-collapse,"Health
Economy, Finance, Inequality, Poverty",Health,"Economy, Finance, Inequality, Poverty",,Water & Infrastructure,Democratic Values/Institutional Norms,,"6
4",Investigative,"1,2","Media Amplification, Stakeholder Reaction","שבועיים לאחר פרסום התחקיר הודיעו מנהלי מחלקות בבתי חולים בפריפריה כי הם מפסיקים את המתווה באופן חד צדדי;
חיים התראיין לרדיו צפון על הכתבה
","On January 15, 2026: The Ministry of Health announced the establishment of a working team to formulate an updated framework for medical residencies on-call shifts, with the aim of creating a model that can be implemented systemically and sustainably and that addresses the shortcomings identified in the implementation of the current framework. In its announcement regarding the establishment of the team, the Ministry of Health stated that as part of reviews and lessons-learned, it found that the framework has value in easing workload pressures, but at the same time, claims were raised by some stakeholders within the system regarding harm to the quality of training and care, to continuity of treatment, and to the functioning of the departments in which the framework is applied, creating significant disparities in these areas between peripheral hospitals and those in central Israel. Accordingly, the need arose for a thorough review and an update to the working method, while maintaining the goal of reducing the workload on residents. The team is scheduled to submit its recommendations by May 1, 2026.","Translation, Audio Recording",Ynet,Ynet,"רדיו צפון, DoctorsOnly","Radio Tzafon, DoctorsOnly"
89,חשיפה: ריכוזים חריגים של כימיקלים מסכני חיים נמצאו במי השתייה ברחבי הארץ,Exposed: Dangerous Levels of Toxic Chemicals Found in Drinking Water Nationwide,2025-07-06,6-Jul-2025,Haim Rivlin,https://www.shomrim.news/hebrew/pfas-in-the-water,Health,Health,,,Water & Infrastructure,,,6,Investigative,"1, 3","Media Amplification, Real-World Change","היו לכתבה יותר מ-300K צפיות בפלטפורמות הדיגטליות של כאן
שבועיים לאחר פרסום התחקיר, המשרד להגנת הסביבה פרסם להערות הציבור, טיוטת תקנות חדשות שיגבילו  שימוש, ייצור וייבוא של חומרים מסוכנים ממשפחת PFAS. 
התקנות מהוות צעד ראשון לקראת אשרור אמנת שטוקהולם.","The investigation received more than 300K views on KAN’s digital platforms.
Two weeks after it was published, the Ministry of Environmental Protection released for public comments a draft of new regulations that will restrict the use, production, and import of hazardous PFAS chemicals.
These regulations constitute an initial step toward ratifying the Stockholm Convention.",Audio Recording,כאן 11,KAN 11,,
90,אפקט המלחמה בעזה: הארגונים הפרו-פלסטיניים שמבקרים את ישראל מגייסים מיליונים,"The Gaza Effect: Anti-Israel, Pro-Palestinian Organizations Raise Millions of Dollars In Donations",2025-07-07,7-Jul-2025,Uri Blau,https://www.shomrim.news/hebrew/donations-leap,"October 7 War
Democracy & Society",October 7 War,Democracy & Society,,Democratic Values/Institutional Norms,Military & Reserve Forces,,"4
2",Short-Term Investigative,,,,,Translation,,,,
91,"חשיפה: אנשי העסקים ג'קי בן זקן, עופר נמרודי ומיכאל צ'רנוי העידו במשטרה במסגרת חקירה של ""בנק פרטי""",Exposed: Top Israeli Business Figures Questioned by Police in 'Private Bank' Probe,2025-07-10,10-Jul-2025,Roni Singer,https://www.shomrim.news/hebrew/gray-market-loans,"Economy, Finance, Inequality, Poverty","Economy, Finance, Inequality, Poverty",,,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,"1
4",Investigative,1,Media Amplification,,,,כלכליסט,Calcalist,,
